subj,stimType,stimPos,resp,rt,initWheelPos,finalWheelPos,tone,flanker,cue,cuePos,trialNum,phase,bias,sex,hand,age,acc,err
RT_9-1,Right,2,Right,533,-38,-37,None,None,y,2,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Right,2,Right,431,-1,-1,Sound_1,None,y,2,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Right,1,Right,432,-40,-40,Sound_1,None,y,1,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Left,7,Left,499,32,29,None,Congruent,y,7,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Right,7,Right,632,0,1,None,Incongruent,y,7,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Left,4,Left,800,-44,-43,None,Congruent,n,NA,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Left,3,Left,533,0,-4,Sound_1,None,n,NA,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Right,4,Left,532,-40,-40,None,Congruent,y,4,1,experiment,rt,Male,Right,21,0,1
RT_9-1,Right,1,Right,466,8,3,None,Incongruent,y,1,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Right,1,Right,532,-43,-40,None,Congruent,y,1,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Left,8,Left,632,33,28,None,Incongruent,y,8,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Left,6,Left,699,-4,-1,Sound_1,None,n,NA,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Right,4,Right,499,41,41,Sound_1,Congruent,n,NA,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Left,2,Left,532,-35,-36,None,Congruent,y,2,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Right,3,Right,465,3,0,None,None,y,3,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Right,7,Right,598,31,31,Sound_1,Incongruent,y,7,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Left,3,Left,632,-43,-45,Sound_1,Congruent,n,NA,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Right,2,Right,499,37,38,None,Incongruent,y,2,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Right,8,Right,531,-1,0,Sound_1,None,y,8,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Left,5,Left,766,30,29,None,None,n,NA,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Right,7,Left,499,-51,-50,None,Congruent,y,7,1,experiment,rt,Male,Right,21,0,1
RT_9-1,Right,3,Right,566,1,1,None,Incongruent,n,NA,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Right,1,Right,499,33,33,None,None,y,1,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Left,4,Left,630,-34,-41,Sound_1,Congruent,y,4,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Left,6,Left,631,0,-2,Sound_1,Incongruent,y,6,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Right,1,Right,497,31,32,Sound_1,Incongruent,y,1,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Right,2,Right,633,-39,-38,None,Incongruent,n,NA,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Right,2,Right,632,2,-1,None,None,n,NA,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Left,8,Left,732,-48,-47,None,Incongruent,n,NA,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Right,3,Right,499,44,42,None,Congruent,y,3,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Right,8,Right,465,-46,-45,Sound_1,Incongruent,y,8,1,experiment,rt,Male,Right,21,1,0
